Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.9099999999999999,0.61,0.44265562624341104
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.44035677643650245
75% Corpus,4,0.9099999999999999,symmetric,0.4340718944967382
75% Corpus,4,symmetric,0.01,0.42258183936860616
75% Corpus,4,symmetric,0.31,0.4452145683522816
75% Corpus,4,symmetric,0.61,0.44469634754961906
75% Corpus,4,symmetric,0.9099999999999999,0.44125837464621653
75% Corpus,4,symmetric,symmetric,0.4472661857027004
75% Corpus,4,asymmetric,0.01,0.4358622011321811
75% Corpus,4,asymmetric,0.31,0.453121660016304
75% Corpus,4,asymmetric,0.61,0.4552372760182847
75% Corpus,4,asymmetric,0.9099999999999999,0.42339073585820364
75% Corpus,4,asymmetric,symmetric,0.4536013402195982
75% Corpus,5,0.01,0.01,0.4441984492260289
75% Corpus,5,0.01,0.31,0.4440392233857475
75% Corpus,5,0.01,0.61,0.4344780063668293
75% Corpus,5,0.01,0.9099999999999999,0.4355311774935263
75% Corpus,5,0.01,symmetric,0.4289534561957227
75% Corpus,5,0.31,0.01,0.4464401559325804
75% Corpus,5,0.31,0.31,0.4498046242887138
75% Corpus,5,0.31,0.61,0.4368457501311777
75% Corpus,5,0.31,0.9099999999999999,0.4411095724023698
75% Corpus,5,0.31,symmetric,0.4460167474642406
75% Corpus,5,0.61,0.01,0.4509928241260999
75% Corpus,5,0.61,0.31,0.4505346091182962
75% Corpus,5,0.61,0.61,0.45305710266421
75% Corpus,5,0.61,0.9099999999999999,0.45794172070755856
75% Corpus,5,0.61,symmetric,0.4520522290169063
75% Corpus,5,0.9099999999999999,0.01,0.4617644096045771
75% Corpus,5,0.9099999999999999,0.31,0.4697307359219569
75% Corpus,5,0.9099999999999999,0.61,0.4601098986552149
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4529653365964424
75% Corpus,5,0.9099999999999999,symmetric,0.45111093914628936
75% Corpus,5,symmetric,0.01,0.4402368689421478
75% Corpus,5,symmetric,0.31,0.44388858879010284
75% Corpus,5,symmetric,0.61,0.437283175055728
75% Corpus,5,symmetric,0.9099999999999999,0.4343523158358395
75% Corpus,5,symmetric,symmetric,0.4358693291536816
75% Corpus,5,asymmetric,0.01,0.4296811356810454
75% Corpus,5,asymmetric,0.31,0.4279658596848064
75% Corpus,5,asymmetric,0.61,0.42920327570394196
75% Corpus,5,asymmetric,0.9099999999999999,0.4188217696491692
75% Corpus,5,asymmetric,symmetric,0.4483213436080293
75% Corpus,6,0.01,0.01,0.4206657200247281
75% Corpus,6,0.01,0.31,0.4309519215916459
75% Corpus,6,0.01,0.61,0.43374348969658416
75% Corpus,6,0.01,0.9099999999999999,0.43910705101076
75% Corpus,6,0.01,symmetric,0.41519629708093014
75% Corpus,6,0.31,0.01,0.4260194470389176
75% Corpus,6,0.31,0.31,0.4106003254173449
75% Corpus,6,0.31,0.61,0.43710959747353567
75% Corpus,6,0.31,0.9099999999999999,0.46168828770245596
75% Corpus,6,0.31,symmetric,0.42149432855266417
75% Corpus,6,0.61,0.01,0.43287712617362833
75% Corpus,6,0.61,0.31,0.44574784270364903
75% Corpus,6,0.61,0.61,0.4465497952109952
75% Corpus,6,0.61,0.9099999999999999,0.4666497406993558
75% Corpus,6,0.61,symmetric,0.4301774560233265
75% Corpus,6,0.9099999999999999,0.01,0.4285172112414486
75% Corpus,6,0.9099999999999999,0.31,0.464901642643989
75% Corpus,6,0.9099999999999999,0.61,0.4652589804174298
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4692990868858691
75% Corpus,6,0.9099999999999999,symmetric,0.42194330999169427
75% Corpus,6,symmetric,0.01,0.42340010618169543
75% Corpus,6,symmetric,0.31,0.4457703491220916
75% Corpus,6,symmetric,0.61,0.42993266418025033
75% Corpus,6,symmetric,0.9099999999999999,0.42009042879854186
75% Corpus,6,symmetric,symmetric,0.4203255920013073
75% Corpus,6,asymmetric,0.01,0.41779665582065545
75% Corpus,6,asymmetric,0.31,0.4107969130455709
75% Corpus,6,asymmetric,0.61,0.42602086072000467
75% Corpus,6,asymmetric,0.9099999999999999,0.4416960302111186
75% Corpus,6,asymmetric,symmetric,0.40660729109511845
75% Corpus,7,0.01,0.01,0.44284367218310117
75% Corpus,7,0.01,0.31,0.43897084339628545
75% Corpus,7,0.01,0.61,0.4629807533422442
75% Corpus,7,0.01,0.9099999999999999,0.4482137175104417
75% Corpus,7,0.01,symmetric,0.4483229348279183
75% Corpus,7,0.31,0.01,0.4552628130867862
75% Corpus,7,0.31,0.31,0.45363432445484403
75% Corpus,7,0.31,0.61,0.46782113497588657
75% Corpus,7,0.31,0.9099999999999999,0.4438878280901864
75% Corpus,7,0.31,symmetric,0.4619333319049416
75% Corpus,7,0.61,0.01,0.4655024519950812
75% Corpus,7,0.61,0.31,0.4760536562559675
75% Corpus,7,0.61,0.61,0.44797088817972547
75% Corpus,7,0.61,0.9099999999999999,0.4516817753941295
75% Corpus,7,0.61,symmetric,0.4696169470497803
75% Corpus,7,0.9099999999999999,0.01,0.43106854530499933
75% Corpus,7,0.9099999999999999,0.31,0.456152452948436
75% Corpus,7,0.9099999999999999,0.61,0.4637220180005705
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4576081011987164
75% Corpus,7,0.9099999999999999,symmetric,0.4423986563565724
75% Corpus,7,symmetric,0.01,0.45116092468595986
75% Corpus,7,symmetric,0.31,0.4562843747016254
75% Corpus,7,symmetric,0.61,0.4378460622426396
75% Corpus,7,symmetric,0.9099999999999999,0.40936765674958125
75% Corpus,7,symmetric,symmetric,0.45021030980470006
75% Corpus,7,asymmetric,0.01,0.4400569883400016
75% Corpus,7,asymmetric,0.31,0.4311375738588512
75% Corpus,7,asymmetric,0.61,0.4412958824099915
75% Corpus,7,asymmetric,0.9099999999999999,0.43198435100798116
75% Corpus,7,asymmetric,symmetric,0.4361362471889079
75% Corpus,8,0.01,0.01,0.43730682678468774
